etdid,title,author,advisor,university,degree,program,year
248,the origins of the national front for the liberation of south vietnam,carlyle alan thayer,,australian national university,doctor of philosophy,pacific studies,1977
249,the demography of a thai village methodological considerations and substantive conclusions from field study in a central plains community,donald j lauro,,australian national university,doctor of philosophy,social sciences,
250,the getting of data a case study from the recent industries of australia,lan johnson,,australian national university,doctor of philosophy,,1979
251,some aspects of santa barbara channel prehistory,robert linville hoover,,university of california,doctor of philosophy,anthropology,
252,the spatial dynamics of financial intermediaries an interpretation of the distribution of financial decisionmaking in canada,william robert code,,university of california,doctor of philosophy,,1971
253,the performance of the basso continuo in seventeenth century italian music,tharald borgir,,university of california,doctor of philosophy,music,1971
254,the role of foreign contributions in japanese capital formation 18681936 with special reference to the period 19041914,bernard merril key,,university of california,doctor of philosophy,economics,
255,the early sculpture of picasso 19011914,ronald william johnson,,university of california berkeley,doctor of philosophy,history,
256,a class of topologically free locally convex spaces and related group hopf algebras,,,university of california,doctor of philosophy,mathematics,1972
257,exploring the auditory aspects of aptitude for intensive modern foreign language learning,antoine rashid alhaik,,university of california,doctor of philosophy,education,1972
258,,soledad masangkay borromeo,,university of california,doctor of philosophy,history,
259,comparative ecology of ant communities in mediterranean regions of california and chile,james howell hunt,,university of california,doctor of philosophy,zoology,
260,ii ab initio studies on bishomocubane and related compounds,john wilmot vinson,,university of california,doctor of philosophy,chemistry,
261,an exploration of c g jungs psychological types as predictors of creativity and selfactualization,mary caroline tuttle,,university of california,doctor of philosophy,education,1971
262,orientation to the social and physical environment possible implications for the intellectual development of preschool children,kay donahue jennings,,university of california,doctor of philosophy,psychology,
263,university reform in latin america a case study of the university of valle cali colombia,robert saunderson wickham,,university of california,doctor of philosophy,education,
264,an empirical typology of college womens personal role conceptions,robert lawrence fisher,,university of california,doctor of philosophy,psychology,
265,the use of ideal models in covert rehearsal to influence selfconcept,ricky alan sarkisian,,university of california,doctor of philosophy,education,
266,potential effects of income redistribution on economic growth constraints evidence from taiwan and south korea,dennis leslie chinn,,university of california,doctor of philosophy,economics,
267,,john cromwell mather,,university of california,doctor of philosophy,physics,
268,delinquency and crime prevention via diversion of juveniles and delinquents from incarceration,james w russell,,university of california,doctor of criminology,,1969
269,the effect of semantic interference on a black childs reading comprehension,clifford carter,,university of california,doctor of philosophy,education,
270,theoretical studies of some nonlinear laserplasma interactions,bruce ira cohen,,university of california,doctor of philosophy,physics,1975
271,investigation of recovery times in the electrical discharge machining process and the consequences of the influence of the recovery time on the time between discharges,eugene william bartel,,,doctor of philosophy,electrical engineering,1971
272,,guillermo e pareja,,carnegie mellon university,doctor of philosophy,chemical engineering,
273,statistical mechanics of onedimensional excludedvolume problem and polymer chain,paul poryuan wang,,carnegie mellon university,,physics,
274,thermal aspects of grinding,wolfgang joachim sauer,,,doctor of philosophy,mechanical engineering,
275,spatial stability of pipe poiseuille flow to infinitesimal disturbances,vijay k garg,,,,mechanical engineering,1971
276,the specific heat and residual resistivity of binary and ternary noble metal alloys,thomas h davis,,carnegie mellon university,doctor of philosophy,physics,1971
277,municipal organization for public health in pittsburgh 18511895,jacqueline karnell corn,,,doctor of arts,history,
278,a literaturefocused humanities unit for the senior high school its development and evaluation,dorothy m hill,,,,,1972
279,an investigation of alkali metal derivatives of germane and some new fluorosilyl compounds,lawrence h marcus,,carnegie mellon university,doctor of philosophy,chemistry,1972
280,lateral buckling of curved plate girders,paul f mcmanus,,,doctor of philosophy,civil engineering,
281,selective membrane transport charles f reusch,,,,doctor of philosophy,,
282,standard modules in product design,timothy shaftel,,carnegie mellon university,,industrial administration operations research,
283,the reaction of dicyanoacetylene with atomic oxygen and active nitrogen studied in a flow system with mass spectrometric detection,ralph h obenauf,,,doctor of philosophy,chemistry,
284,exploration of the design space for register transfer systems,mario roberto barbacci,,,doctor of philosophy,computer science,
285,entrance pressure losses for inelastic newtonian and nonnewtonian fluids,stephen e kaye,,,doctor of philosophy,chemical engineering,
286,protection in programmed systems,anita katherine jones,,,doctor of philosophy,computer science,
287,a study of the use of polarization functions in molecular orbital calculations on organic compounds,p c hariharan,,carnegie mellon university,doctor of philosophy,chemistry,1973
288,on synchronization primitive systems,richard j lipton,,,doctor of philosophy,computer science carnegiemellon,
289,an implementation of the boundaryintegral technique for planar problems in elasticity and elastoplasticity peter,,,carnegie institute of technology carnegiemellon university,doctor of philosophy,mechanical engineering,1973
290,global program optimizations,charles matthew geschke,,,doctor of philosophy,computer science carnegiemellon,
291,,henry l pollak,,university of pittsburgh,,arts and sciences,1971
292,electrodeless conductance measurements using toroidal inductors,robert,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
293,micellar catalysis in phosphonate ester hydrolysis,eugene p mazzola,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
294,god and ethics a study in moral philosophy and the philosophy of religion,robert n van wyk,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
295,comparative study of related health fertility attitudes and behavior of families residing in a poverty area pittsburgh 1969,william h spillane,,university of pittsburgh,doctor of philosophy,social work,1971
296,full wave solution for the transmission of ulf and elf waves through the ionosphere,d lynn shaeffer,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
297,residential mobility of selected school families in pittsburgh pennsylvania 19661969,leonard p tepper,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
298,information processing in lastc and applied science an exploratory study at the tnlerpace of the sociology of science and information science,daniel james amick,,university of pittsburgh,doctor of philosophy,arts and sciences,1970
299,the pennsylvania parole systema costbenefit analysis,louis michael sesnowitz,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
300,a tagmemic approach to certain thai clauses,patamaka patamapongse,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
301,interinstitutional cooperation a descriptive and evaluative analysis of its status and potentiality in the commonwealth of pennsylvania 197071,william g kaliden,,university of pittsburgh,doctor of philosophy,education,1971
302,the impact of the government policy on the development of education in the first republic of korea 19481966,byung sook choe,,university of pittsburgh,doctor of philosophy,education,1971
303,structure and creativity in early childhood education,janet elizabeth weaver,,university of pittsburgh,doctor of philosophy,education,1971
304,a study of procedures and rationale employed in the development of budgets for audiovisual instructional materials in selected public school districts of pennsylvania,leslie p gottardi,,university of pittsburgh,doctor of education,education,1971
305,facilitation and retardation of instrumental appetitive learning by prior pavlovian aversive conditioning,edward,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
306,similarities and differences between awardees and nonawardees in the pennsylvania higher education assistance agency scholarship program 197071,richard russell mellott,,university of pittsburgh,doctor of education,education,1971
307,nuclear magnetic resonance studies of icosahedral carboranes and selected icosahedral carborane derivatives,thomas e fielding,,university of pittsburgh,doctor of philosophy,arts and sciences,1971
308,effectiveness of the pittsburgh junior achievement program in changing attitudes of participating students toward business and work,william,,university of pittsburgh,doctor of education,education,1971
309,the effects of reinforcement procedures on negative behaviors in delinquent girls,joseph pavlot,,university of pittsburgh,doctor of philosophy,education,1971
310,elaboration of fused ring systems by the agency of βchloroethyl vinyl ketone,lantz s crawley,,university of pittsburgh,doctor of philosophy,arts and sciences,1970
311,the ecology of the molluscs of thalassia communities jamaica west indies,jeremy bradford cook jackson,,yale university,doctor of philosophy,,1971
312,the techniques of softening eta hoffmanns presentation of the fantastic,william swann,,yale university,doctor of philosophy,,1971
313,crania and dentitions of archaeolemurinae lemuroidea primates,lan tattersall,,yale university,doctor of philosophy,,1971
314,studies on waves in elasticviscoplastic media,paul e zannis diploma mech eng national,,yale university,doctor of philosophy,,1971
315,acoustic velocities and energy losses in granular aggregates,carol coke pilbeam,,yale university,doctor of philosophy,,1971
316,optimal niche space of the redwinged blackbird,raleigh j robertson,,yale university,doctor of philosophy,,1971
317,the effects of two types of success and failure on childrens discrimination learning and evaluations of performance elizabeth s meid,,,yale university,doctor of philosophy,,1971
318,surface diffusion and its dependence on surface water by ralph tzubow yang,,,yale university,doctor of philosophy,,1971
319,the dispersion of the nonlinear optical susceptibility of some wurtzite and zincblende semiconductors,frederick george parsons,,yale university,doctor of philosophy,,1971
320,semiclassical theory applied to vibrationally inelastic scattering in three dimensions,michael alan wartell,,yale university,doctor of philosophy,,1971
321,adaptive behavior and speculative price formation,anthony pappas,,yale university,doctor of philosophy,,1971
322,raman scattering in liquid helium and rotonroton interactions joseph woongsang yau 1971,,,yale university,doctor of philosophy,,
323,some aspects of the ecology of limnetic zooplankton in lake wononskopmuc connecticut,stephen jay warshaw,,yale university,doctor of philosophy,,1971
324,videotape and the attribution process changing actors and observers points of view michael d storms,,,yale university,doctor of philosophy,,1971
325,structural biochemical and physiological aspects of photomorphogenesis in fern gametophytes,gary p howland,,yale university,doctor of philosophy,,1971
326,,bruce stanley schneider,,yale university,doctor of philosophy,,1971
327,estimating a general disequilibrium model of the financial sector,gary smith,,yale university,doctor of philosophy,,1971
328,the effect of reserpine on macromolecular synthesis and the repletion of biogenic amines,paul v scott,,yale university,doctor of philosophy,pharmacology,1971
329,adsorption at the mercuryaqueous solution electrical double layer,alan r sears,,yale university,doctor of philosophy,,1971
330,an experimental investigation of spherical cap bubbles in liquids,robert e sundell,,yale university,doctor of philosophy,,1971
331,the aromatization of dewar benzene a mechanistic study,david george shaw,,harvard university,doctor of philosophy,chemistry,1971
332,mechanism of fluoroalkene cycloaddition and oclactone chemistry,robert clayton wheland,,harvard university,doctor of philosophy,chemistry,1970
333,transition metal complexes with organosilylamines,chang hwan kim,,harvard university,doctor of philosophy,chemistry,1971
334,microwavemicrowave double resonance investigations of collisional transfer of rotational energy,jonathan brewer cohen,,harvard university,doctor of philosophy,chemistry,1971
335,the relationship of classroom racial composition to student academic achievement and the conditioning effects of interracial social acceptance,ralph g lewis,,harvard university,doctor of education,education,1971
336,,lewis david williams,,harvard university,doctor of philosophy,chemistry,1970
337,photometry of elliptical galaxies in multiple systems,sandra moore faber,,harvard university,doctor of philosophy,astronomy,1971
338,a gasčerenkov telescope experiment to observe cosmic gamma rays,jeffrey alan hoffman,,harvard university,doctor of philosophy,astronomy,1971
339,new applications of organometallic reagents in organic synthesis a stereospecific total synthesis of αsantalol,herbert andrew kirst,,harvard university,doctor of philosophy,chemistry,1971
340,,,,harvard university,doctor of philosophy,chemistry,1972
341,the reactions of methylone with isobutane and cyclopropane,barbara breidenbach saunders,,harvard university,doctor of philosophy,,1972
342,interactions of cosmic rays with hydromagnetic waves in the galaxy,catherine jeanne cesarsky,,harvard university,doctor of philosophy,astronomy,1971
343,the eight year study origins impact and implications,neil kurshan,,harvard university,doctor of education,education,1973
344,improving investment performance and the role of fixedincome securities,chairman robert glauber william white dwight crane,,harvard university,doctor of business administration,,
345,the process of program initiation at the federal level papers on the national foundation for postsecondary education,charles i bunting,,harvard university,doctor of education,education,1973
346,intramolecular catalysis in the hydrolysis of some phosphonate esters,lorna joan williamson,,harvard university,doctor of philosophy,chemistry,1973
347,the dissonant design john ford and the art of tragedy,steven alen schneider,,harvard university,doctor of philosophy,english,1973
348,the role of the assistant academic vice president saint louis university197273 an analysis of an intervention 400 project w patrick dolan a final report,,,harvard university,doctor of education,,1973
349,pedagogy for peace and nonviolence,,,harvard university,doctor of education,education,1974
350,stereoselectivity in the thermal rearrangement of optically active cyclobutanes,antonietta rose mastrocola,,harvard university,doctor of philosophy,chemistry,1974
351,metal hydride reduction of ketones stereochemistry and kinetics,james ronald boone,,georgia institute of technology,doctor of philosophy,chemistry,1974
352,thermally induced flow instabilities in twophase mixtures in thermal equilibrium,mamoru ishii,,georgia institute of technology,doctor of philosophy,mechanical engineering,1971
353,the kinetics and mechanism of nucleophilic substitution on 9substituted6chloropurines,don benton weser,,georgia institute of technology,doctor of philosophy,chemistry,1971
354,kinetics of iodination of methyl substituted benzenes,john murray,,georgia institute of technology,doctor of philosophy,chemistry,1971
355,gasliquid phase equilibria in the heliumcarbon tetrafluoride and heliumchlorotrifluoromethane systems at low temperatures and 20120 atmospheres,yo kil yoon,,georgia institute of technology,doctor of philosophy,chemical engineering,1971
356,thermofluid dynamics of separated twophase flow,gunol kocamustafaogullari,,georgia institute of technology,doctor of philosophy,mechanical engineering,1971
357,the steadystate theory of ignition of flowing gaseous mixtures,alexandros costas alkidas,,georgia institute of technology,doctor of philosophy,mechanical engineering,1972
358,kinetic study on the nucleophilic substitution of purines,alvaro abidaud,,georgia institute of technology,doctor of philosophy,chemistry,1971
359,the chemistry of endo triazolines,robert howard hill,,georgia institute of technology,doctor of philosophy,chemistry,1972
360,a theoretical study of nonlinear longitudinal combustion instability in liquid propellant rocket engines,manuel edward lores,,georgia institute of technology,doctor of philosophy,aerospace engineering,1972
361,the photochemistry of azafulvenes,joseph peter sanchez,,georgia institute of technology,doctor of philosophy,chemistry,1972
362,substituent effect on photochemical rearrangements of crossconjugated cyclohexadienones related to indanone,ming ko,,georgia institute of technology,doctor of philosophy,chemistry,1972
363,the role of sediment gradation on channel armoring,william campbell little,,georgia institute of technology,doctor of philosophy,civil engineering,1972
364,measurement of steadystate space dependent thermal neutron spectra in beryllium,james alan lake,,georgia institute of technology,doctor of philosophy,nuclear engineering,1972
365,experimental determination of threedimensional liquid rocket nozzle admittances,william alvin bell,,georgia institute of technology,doctor of philosophy,aerospace engineering,1972
366,,william marshall leach,,georgia institute of technology,doctor of philosophy,electrical engineering,1972
367,short range order and development of long range order in nickel 20 atomic percent molybdenum alloy,bhaven chakravarti,,georgia institute of technology,doctor of philosophy,chemical engineering,1973
368,lubricant rheology at high shear stress,jérgen jakobsen,,georgia institute of technology,doctor of philosophy,mechanical engineering,1973
369,adsorption on activated carbon of methane ethane and ethylene gases and their mixtures and carbon dioxide,ricardo reich,,georgia institute of technology,doctor of philosophy,chemical engineering,1974
370,thermally induced twophase flow instabilities including the effect of thermal nonequilibrium between the phases,pradip saha,,georgia institute of technology,doctor of philosophy,mechanical engineering,1974
371,accommodation in computer vision,jay martin tenenbaum,,stanford university,doctor of philosophy,electrical engineering,1976
372,,olasope oyediji oyelaran,,stanford university,doctor of philosophy,linguistics,1970
373,bilinear programming,hiroshi konno,,stanford university,doctor of philosophy,,1971
374,pricelevel changes and the inventory policy of the firm,claude machline,,stanford university,doctor of philosophy,,1971
375,contributions to the simplex code conjecture,robert michael tanner,,stanford university,doctor of philosophy,electrical engineering,1970
376,the petrology and petrography of the volcanic sequence associated with the superstition caldera superstition mountains arizona,john s stuckless,,stanford university,doctor of philosophy,,1971
377,poisson approximation for sums of dependent bernoulli random variables,,,stanford university,doctor of philosophy,statistics,1971
378,finance in a development context lessons from west germany,edward john ray,,stanford university,doctor of philosophy,economics,1972
379,ddt residues in coastal marine phytoplankton and their transfer in pelagic food chains,james leslie cox,,stanford university,doctor of philosophy,,1971
380,economies of scale in financial intermediation a statistical investigation of california savings and loan associations,corwin daniel vencill april,,stanford university,doctor of philosophy,economics,1971
381,ecological studies on the butterfly euphydryas editha,michael christopher singer may,,stanford university,doctor of philosophy,,1971
382,optimization of price and quality in service systems,john g,,stanford university,doctor of philosophy,,1970
383,the mineralogy and geochemistry of the tungsten deposits of the black rock mine area mono county california,james edward elliott march,,stanford university,doctor of philosophy,,1971
384,computational methods for the synthesis of rotarywing vtol aircraft control systems,wilton earl hall jr august,,stanford university,doctor of philosophy,aeronautics,1971
385,influence of resource distribution and abundance on butterfly population structure,lawrence edmund gilbert jr may,,stanford university,doctor of philosophy,,1971
386,applications of the theory of optimal control of distributedparameter systems to structural optimization,,,stanford university,doctor of philosophy,aeronautics,1971
387,tectonic significance of geophysical investigations in southwestern arizona and northwestern sonora mexico at the head of the gulf of california,john randolph sumner,,stanford university,doctor of philosophy,geophysics,1971
388,four studies in phenomenology and pragmatism,michael hermann sukale may,,stanford university,doctor of philosophy,,1971
389,a study of the realtime control of a computerdriven vehicle,rodney albert schmidt jr may,,stanford university,doctor of philosophy,electrical engineering,1971
390,bayesian expert resolution,peter alan morris may,,stanford university,doctor of philosophy,,1971
391,memory codes revealed by response latencies,lee frederick decoster,,university of michigan,doctor of philosophy,psychology,1971
392,the reverend bernard harrington assistant superintendent of schools archdiocese of detroit,john archie thomas,,university of michigan,doctor of philosophy education,,1971
393,doctoral committee professor joseph n payne chairman associate professor arthur f coxford jr professor james g greeno professor phillip s jowes doctor davin w wells director of instruction and mathematics education oakland schools,paul joseph shoecraft,,university of michigan,doctor of philosophy education,,1971
394,william d revelli the hobart years,george alfred cavanagh,,university of michigan,doctor of education,,1971
395,exotic ions in liquid helium,gary gene ihas,,university of michigan,doctor of philosophy,physics,1971
396,a metallurgical study of high stress abrasion,joseph muscara,,university of michigan,doctor of philosophy,metallurgical engineering,1971
397,a logical basis for nouns adjectives and verbs,michael f stewart,,university of michigan,doctor of philosophy,linguistics,
398,the concept of empathic understanding,howard frederick kamler,,university of michigan,doctor of philosophy philosophy,,1971
399,double commutants of singly generated operator algebras,thomas rolf turner,,university of michigan,doctor of philosophy,mathematics,1971
400,an analysis of the concept of alienation in karl marxs early writings,david edward whiteside,,university of michigan,doctor of philosophy philosophy,,
401,reactions of molecular nitrogen with titanocene and its derivatives,robert hyman marvich,,university of michigan,doctor of philosophy,,1971
402,solution and unity in schoenbergs george songs op 15,jerry mac dean,,university of michigan,doctor of philosophy,,1971
403,instrumentation for the study of rapid biological oxidationreduction reactions by epr and optical spectroscopy,david penfield ballou,,university of michigan,doctor of philosophy,,1971
404,precambrian geology and mineral deposits of the salida area chaffee county colorado,shelby jett boardman,,university of michigan,doctor of philosophy geology,,1971
405,a generative approach to the development of avestan and old persian consonants,hassan sharifi,,university of michigan,doctor of philosophy,linguistics,1971
406,measurements and models of the dispersed phase mixing process,seymour l ross,,university of michigan,doctor of philosophy,chemical engineering,1971
407,sentential complementation in middle english and early modern english a study of linguistic change,eiko tamano ito,,university of michigan,doctor of education,,1971
408,estimation of local fiscal capacity,john stephen akin,,university of michigan,doctor of philosophy,,1971
409,the obligation t0 obey the law an essay on law social institutions and morality,bruce michael landesman,,university of michigan,doctor of philosophy philosophy,,1971
410,the wallace campaign worker in wayne county michigan,james lewis canfield,,university of michigan,doctor of philosophy,,1971
411,franz liszts approach to piano playing,arne steinberg 198,,university of maryland,doctor of musical,,1971
412,pion production in nuclear collisions,malcolm david shuster,,university of maryland,doctor of philosophy,,1971
413,minimumfuel attitude control and stabilization of an inertiallyoriented space station,john joseph fearnsides,,university of maryland,doctor of philosophy,,1971
414,finite difference solutions of steady laminar flow through a pipe orifice,theo gordon keith,,university of maryland,doctor of philosophy,,1971
415,george frederick root pioneer music educator his contributions to mass instruction in music,polly hinson carder,,university of maryland,doctor of education,,1971
416,radiolodine labeled human igg and igg fraction of rabbit antihuman igg serum the use of labeled antibody as antibody in precipitation and double antibody reactions and as antigen in precipitation and double antibody radioimmunoassays,william alexander falkler,,university of maryland,doctor of philosophy,,1971
417,an application of the facetfactorial approach to scale construction in the development of a rating scale for clarinet music performance,harold f abeles,,university of maryland,doctor of philosophy,,1971
418,ultrasonic absorption study of ecaprolactam in cyclohexane solutions,mostafa mahmoud emara,,university of maryland,doctor of philosophy,,1971
419,the soldiers orphan schools of pennsylvania 18641889,o david gold,,university of maryland,doctor of philosophy,,1971
420,larval ixodid ticks of indonesia acarina ixodidae,sampurno kadarsan,,university of maryland,doctor of philosophy,,1971
421,the effects of video tape feedback on the achievement of students in a beginning conducting class,wilbert allen king,,university of maryland,doctor of education,,1971
422,the effect of one type of preinterview verbal discrimination training model on verbal behavior in an interview setting,donald joseph delbeato,,university of maryland,doctor of philosophy,,1971
423,comparative systematic anatomy of the parasite cassytha lauraceae,bobby glenn beaman,,university of maryland,doctor of philosophy,,1971
424,the politics of the korean minority in japan,changsoo lee,,university of maryland,doctor of philosophy,,1971
425,the effects of general semantics on the personality adjustment of elementary school children,ruth s ralph,,university of maryland,doctor of philosophy,,1971
426,radiationinduced grafting of styrene to polyethylene and hexatriacontane,ihab labib kamel,,university of maryland,doctor of philosophy,,1971
427,radiationinduced grafting of butadiene to chlorinated polyethylene and poly vinyl chloride,ira block,,university of maryland,doctor of philosophy,,1971
428,the freedmen at pompett,samuel van houte,,university of maryland,doctor of philosophy,,1971
429,the battle of midway a study in command,robert elmer barde,,university of maryland,doctor of philosophy,,1971
430,the harrowing of hell a study of its reception and artistic interpretation in early mediaeval european literature,,,university of maryland,doctor of philosophy,,1971
431,a wavy wall analytical model of mucociliary pumping,stephen m ross,,johns hopkins university,doctor of philosophy,,1971
432,on some largesample methods in statistical point estimation,james c fu,,johns hopkins university,doctor of philosophy,,1971
433,studies on the extraction accumulation and metabolism of phthalate ester plasticizers from polyvinyl chloride medical devices,rudolph j jaeger,,the johns hopkins university,doctor of philosophy,,1971
434,conservation principles and stability in the evolution of drainage systems,terence robert smith,,johns hopkins university,doctor of philosophy,,1971
435,computer simulations of turbulent dispersion,james j riley,,johns hopkins university,doctor of philosophy,,1971
436,the distribution and arrangement of urban structure and spatial change,kingsley edwin haynes,,johns hopkins university,doctor of philosophy,,1972
437,the elizabethan gentlemen adventurers and western planting,carole shammas,,johns hopkins university,doctor of philosophy,,1971
438,cigoli studies,charles h carman,,johns hopkins university,doctor of philosophy,,1972
439,representation and detection of concurrency using ordering matrices,garold s tjaden,,johns hopkins university,doctor of philosophy,,1972
440,an investigation of the role of short waves and wind drift in the interaction between wind and long gravity waves,michael l banner,,johns hopkins university,doctor of philosophy,,1973
441,the living lyre a study of the poetry of thomas gray,stephen wagman,,johns hopkins university,doctor of philosophy,,1973
442,the poetic development of barthold heinrich brockes in his irdisches vergnugen in gott,elly m friese apitz,,johns hopkins university,doctor of philosophy,,1971
443,animal imagery in the old testaments some aspects of hebrew poetics,james,,johns hopkins university,doctor of philosophy,,1972
444,,eliyahu borukhov,,johns hopkins university,doctor of philosophy,,1972
445,an essay on the concept of collective rationality,jerry w gustafson,,johns hopkins university,doctor of philosophy,,1972
446,surface relief cinemicrography of the unsteady solidification of the leadtincadmium ternary eutectic,william james boettinger,,johns hopkins university,doctor of philosophy,,1972
447,studies on women at mari politics and religion,bernard frank batto,,johns hopkins university,doctor of philosophy,,1972
448,,howard neil plotkin,,johns hopkins university,doctor of philosophy,,1972
449,,dennis r capozza,,johns hopkins university,doctor of philosophy,,1972
450,on the motion of a line common to three different materials,elizabeth b dussan v,,johns hopkins university,doctor of philosophy,,1972
451,second sound attenuation in a liquid helium counterflow jet,glenn,,california institute of technology,doctor of philosophy,,1975
452,the flow of human blood through capillary tubes with inside diameters between 87 and 221 microns,james henry barbee,,california institute of technology,doctor of philosophy,,1970
453,estimation and control of stochastic chemical systems,myung kyu hwang,,california institute of technology,doctor of philosophy,,1971
454,characteristics of transverse mixing in openchannel flows,josephat kanayo okoye,,california institute of technology,doctor of philosophy,,1970
455,two topics in particle physics i tests for helicity conservation and spinparity selection rules in diffraction dissociation ii independent production of pions,richard n silver,,california institute of technology,doctor of philosophy,,1971
456,theoretical frameworks for testing relativistic gravity the parametrized postnewtonian formalism,clifford martin will,,california institute of technology,doctor of philosophy,,1971
457,modes and spectra of high gain lasers,lee wendel casperson,,california institute of technology,doctor of philosophy,,1971
458,an electrical 4nd statistical study of burst noise,jasen niles puckett,,california institute of technology,doctor of philosophy,,1970
459,applications of model theory to complex analysis,keith duncan stroyan,,california institute of technology,doctor of philosophy,,1971
460,surface wave propagation and source studies in the gulf of california region,wayne thatcher,,california institute of technology,doctor of philosophy,,1971
461,the origins of the nonlinear refractive indices of liquids and glasses,adelbert owyoung,,california institute of technology,doctor of philosophy,,1971
462,,gene ward wester,,california institute of technology,doctor of philosophy,,1972
463,a mathematical and experimental investigation of microcycle spectral estimates of semiconductor flicker noise,michael,,california institute of technology,doctor of philosophy,,1971
464,aperture synthesis observations of neutral hydrogen in three galaxies,gerson seth shostak,,california institute of technology,doctor of philosophy,,1971
465,particle collection from aqueous suspensions by solid and hollow single fibers,daniel pan yih chang,,california institute of technology,doctor of philosophy,,1973
466,,daniel charles harris,,california institute of technology,doctor of philosophy,,1973
467,flow induced vibration of bluff structures,robert dilworth blevins,,california institute of technology,doctor of philosophy,,1973
468,two pigeon hole principles and unions of convexly disjoint sets,howard cary morris,,california institute of technology,doctor of philosophy,,1973
469,the structure of compact radio sources,david bruce shaffer,,california institute of technology,doctor of philosophy,,1973
470,viscous and nonlinear effects in the oscillations of drops and bubbles,andrea prosperetti,,california institute of technology,doctor of philosophy,,1974
471,superconductivity in metalsemiconductor eutectic alloys,william l johnson,,california institute of technology,doctor of philosophy,,1974
472,some problems in nonlinear elasticity,michael alan kosecoff,,california institute of technology,doctor of philosophy,,1975
473,numerical ranges of powers of operators,elias sai wan shiu,,california institute of technology,doctor of philosophy,,1975
474,a structured designmethod for specialized proof procedures,thomas carl brown,,california institute of technology,doctor of philosophy,,1974
475,a study of the entrainment and turbulence in a plane buoyant jet,nikolas evangelos kotsovinos,,california institute of technology,doctor of philosophy,,1975
476,selling competency,robert l russell,,colorado state university,doctor of philosophy,,1971
477,dissertation life history of physaloptera rara hall and wigdor 1918 in definitive intermediate and paratenic hosts,john l olsen,,colorado state university,doctor of philosophy,,1971
478,epizootic bovine abortion tissue predilection and serologic evaluation of the etiologic agent,david e,,colorado state university,doctor of philosophy,,1971
479,,paul a westcott,,colorado state university,doctor of philosophy,,1971
480,dissertation accelerating agricultural production in saudi arabia,mansoor i al turki,,colorado state university,doctor of philosophy,,1971
481,,david,,colorado state university,doctor of philosophy,,1971
482,dissertation image a factor in tourism,john d hunt,,colorado state university,doctor of philosophy,,1971
483,soil descriptions and simulation model of potassium cycling in colorado forests,robert george woodmansee,,colorado state university,doctor of philosophy,,1972
484,dissertation water infiltration under centerpivots,john w addink,,colorado state university,doctor of philosophy,,1972
485,dissertation mechanics of soil erosion from overland flow,mustafa yilmaz kilinc,,colorado state university,doctor of philosophy,,1972
486,,john,,colorado state university,doctor of philosophy,,1972
487,dissertation biosystematic studies of oenothera l subgenus pachylophus,robert erland stockhouse,,colorado state university,doctor of philosophy,,1973
488,immunogenetics of salmonid serum proteins,richard a de long,,colorado state university,doctor of philosophy,,1973
489,,gerald david nordblom,,colorado state university,doctor of philosophy,,1973
490,dissertation plasmasolid interface energy transport,masanobu niimura,,colorado state university,doctor of philosophy,,1973
491,chemical pasteurization of poultry meat,jagdish singh teotia,,colorado state university,doctor of philosophy,,1973
492,,alonzo chappell,,colorado state university,doctor of philosophy,,1973
493,reactions of auto mechanics terminees and supervisors to the importance and quality of auto mechanics training,howard n acott,,colorado state university,doctor of philosophy,,1973
494,,phillip d creighton,,colorado state university,doctor of philosophy,,1974
495,relationship between innovative teachers and student achievement and career aspirations,sheldon r mendelson,,colorado state university,doctor of philosophy,,1973
496,economic and legal protection for aquatic habitats in the united states,david ross allardice,,colorado state university,doctor of philosophy,,1974
497,dissertation verification of a mathematical model for wood joist floor systems,jeongshwu liu,,colorado state university,doctor of philosophy,,1974
498,,rajinder s narang,,colorado state university,doctor of philosophy,,1972
499,,william murray henghold,,colorado state university,doctor of philosophy,,1972
500,the development and field testing of a written occupational competency examination for auto mechanic teachers,william james crain,,colorado state university,doctor of philosophy,,1973
